duration,date,subject.code,exclude,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
331,3/11/22 15:44,R_2Cyx2taAaHtXsAF,0,1,20000,,"In most markets 10,000 will paint the entire exterior of the house, so Steve can use 10,000 to paint the house the color he actually wants and the extra 10,000 is just a thank you for the hassle.",,Nothing happened between Hank and Carol except that Hank read a funny story about Carol in the newspaper.,Hank is offered a million dollars to paint a stranger's house blue; Steve is the stranger Hank inadvertently selects.,"The stranger has nothing to do with Carol's house being painted pink -- or if they do, we weren't given that information in the story.",,,,,,,
501,3/11/22 15:44,R_1jOoR0inkOEeKeK,0,,,,,,,,,6,,,He should accept the money because you can't turn down a large sum of money like that.,Hank was offered money to paint a house pink and Carol returned home from vacation and her home was painted blue.,Hank was offered 1 million to paint Steve's house pink.,The stranger wasn't involved in Carol's house being painted blue.
117,3/11/22 15:44,R_2QLNT7lrSvQDIsb,1,2,,100,very,,"He asks Hank whether he would be willing to pick an address at random from the phone book and paint that house blue. If Hank agrees, he will receive a sum of $1 million which Hank can use however he likes.","He asks Hank whether he would be willing to pick an address at random from the phone book and paint that house blue. If Hank agrees, he will receive a sum of $1 million which Hank can use however he likes.",very different,,,,,,,
304,3/11/22 15:44,R_qVN6jtt1up3KDWF,0,,,,,,,,,1,499000,,Steve will want the 499000 more than he minds a pink house,Nothing,Hank picks steves house to paint,was not involved
370,3/11/22 15:45,R_2ZJOJdo9keUJrne,0,5,,,Hank has no right to paint someone elses house.,,Nothing.,Hank has the potential to tell a stranger to paint Stev'e house blue.,He was not.,,,,,,,
449,3/11/22 15:45,R_2vkbFCst4aLzQmk,0,1,200000,,"$200,000 is 20% of the million dollar reward.  It's enough money so Steve can re-paint his house back to its normal color.  And it's enough money to pay for any stress that's been caused to Steve.",,Nothing.  Hank read about Carol's story in the newspaper.,Hank is offered $1 million if he agrees to let the stranger paint Steve's house.,The stranger who painted Carol's house is likely the same person offering to paint other stranger's houses for prize money.,,,,,,,
282,3/11/22 15:45,R_2e8y3fiSufQOO9P,0,,,,,,,,,5,,,It's not okay to paint someone else's property without permission.,Nothing happens between Hank and Carol.,Nothing happens between Hank and Steve.,The stranger was not involved in Carol's house being painted blue.
449,3/11/22 15:45,R_1MYcqSevhxF7QEG,0,6,,,Assuming Steve doesnt know. He should keep the money,,He doesnt know Carol. He just reads about her. ,He has to decide to paint his house blue or not. ,The stranger was not involved. ,,,,,,,
451,3/11/22 15:45,R_3FPXsQx5lWUZn9x,0,5,,,I would say that the most moral thing to do would not take the money and not paint a stranger's house blue. That person may not want their house that color and it is illegal to go to someone's property and change it without their permission. ,,Hank reads that Carol had her house painted pink by mistake while she was on vacation.,Hank chose Steve's address at random to be the address he would paint blue if he decided to take the money and paint a random address blue.,The story did not indicate that the stranger was involved in any way with Carol's house being painted pink.,,,,,,,
471,3/11/22 15:45,R_Ub9iGQ4w1yCjUfD,0,1,50000,,"Since I ultimately chose to have Steve's house unwillingly painted, I think giving Steve $50000 should more than make up for a new paint job and leave him quite a bit left over for not only his anxiety but also his confusion.  I would tell Steve what had transpired but I would not tell him how much money I made in the agreement and kept for myself.",,"Nothing, as far as I can tell...total strangers.",Hank randomly chooses Steve's house and has it painted blue.,I see no connection here.,,,,,,,
432,3/11/22 15:45,R_3OlhokRj0tLhuCO,0,,,,,,,,,5,,,I would be so skeptical about this stranger with the million dollars that I would not take it or paint anyone's house.  ,Nothing,nothing if Hank doesn't paint his house,Not at all
304,3/11/22 15:45,R_24AfEoKRBAtclO6,0,5,,,"Refusing the offer is the only choice where someone else is not involved, regardless of whether later actions are made for the sake of morality or compensation to the one(s) affected.",,Hank read a story where Carol's house had mistakenly been painted pink.,Hank finds Steve's address in a phone book when asked by a stranger if he wanted to paint a random person's house blue.,"The stranger is either not related, or takes the funny story into account to make a similar ""mistake"" happen again by offering Hank money.",,,,,,,
327,3/11/22 15:45,R_1pmM1BBq1AUTKtH,0,,,,,,,,,6,,,I rather just keep the money and provide for my family.,Hank reads a funny story in the newspaper about Carol.,Hank had picked Steve's address out of the phone book. He doesn't know the man.,The stranger was not involved.
527,3/11/22 15:45,R_O3EogeR4EzAy4eJ,0,,,,,,,,,5,,,It would not be right to paint someone's house without their knowledge first.  ,Nothing happens between them  Hank just reads a story about her.,Nothing happens between Hank and Steve.  Steve is the name randomly selected from the phone book.,The stranger has nothing to do with Carol's house.
352,3/11/22 15:45,R_10GFw19m8d65sKb,1,5,,,It is morally wrong to do something to someone or their property without their consent. ,,"Carol had her how unknowingly painted, and Hank could have been the reason someone else unknowingly had their house painted.",Steve approaches Hank to chose a random persons address to have their house painted without their knowledge or consent.,The stranger must've chose Carols address,,,,,,,
277,3/11/22 15:45,R_3Jla6daIYlqdjKe,0,5,,,It is not morally acceptable to make a decision for someone else without their knowledge.,,Hank was reading a story in the paper about Carol,Hank is approached by steve to select a random name from a phone book to paint that house blue for one million dollars.  Hank takes the offer.,The passage does not indicate how the stranger was involved with Carol's house being painted pink.  He technically is not involved.,,,,,,,
267,3/11/22 15:45,R_0qRWsUiLsLHBYGJ,1,5,,,Steve may not even want his house painted and may not even like the color blue. I don't think it's the right thing for Hank to do.,,Hank accidentally paints Carol's house pink when she's away on vacation.,Hank picks Steve's name out of a phone book at random and decides whether he was going to paint Steve's house blue or not.,There was no relationship.  The stranger arrived at Steve's doorstep later in the day after Carol and it was all a coincidence.,,,,,,,
341,3/11/22 15:45,R_2Bg2Sq4sbjdjpCf,1,1,1000,,"I think Steve should get some of the money, but it was Hank who was taking the most risk, so he should get a lot more  However, I would be willing to go up on that amount is Steve was particularly upset. The $1000 would be a starting point.",,"Hank painted Carol's house pink while Carol was away. However, this was the wrong house that he painted.",Steve was the random person out of the phone book that Hank picked to paint his (Steve's) house.,I don't believe he was involved at all.,,,,,,,
360,3/11/22 15:45,R_D62UUcxB3s1cVxv,0,5,,,It really wouldn't be right to have a stranger's house painted - regardless of the money.,,Nothing - the store was purely coincidental and just something he read about.,Steve offered Hank $1 million to pick a stranger's house to be painted,No idea,,,,,,,
270,3/11/22 15:45,R_3R3M8hQXSwISfoz,1,,,,,,,,,3,10000,10000,My reasoning is because God tells us to be generous with our money,Carol's house was painted blue,it was the person he was thinking about painting the house,He was involved because he was in the first story
433,3/11/22 15:45,R_2q27O7rXkW7gE1x,0,5,,,I don't know if Steve even needs money and Hank would possibly upset Steve.  ,,Hank reads about Carol in the newspaper.,Hank picks Steve at random from a phone book.,The stranger was not involved with the painting of Carol's house.,,,,,,,
528,3/11/22 15:45,R_1jjLevcipDDSFZg,1,3,100000,300000,carol is already a victim and deserves more. steve has to be convinced to paint his house blue.,,hank wrongly paints carol's house pink,hank has to get steve's permission to paint his house blue,he was not,,,,,,,
462,3/11/22 15:45,R_BA2MRBl2YXoU1t7,0,,,,,,,,,5,,,It's the right thing to do. You shouldn't disrespect or vandalize someone else property.,Carol had her house painted and Hank had the opportunity to paint someone else's house.,Hank has the chance to paint Steve's house pink.,I wonder if the stranger offered Anne money to paint Carol's house.
278,3/11/22 15:45,R_3qqvx0oh6qQ2ujc,0,,,,,,,,,1,500000,,"It is Steve's house, and I doubt anyone would be that angry that they had a pink house and 500K.",Hank read a story about Carol in the newspaper. ,Hank has the option to paint Steve's house pink for $1million. ,He wasn't 
574,3/11/22 15:46,R_3KZUqXpCYaCNF0c,0,,,,,,,,,5,,,Because painting his home without permission is trespassing and vandalism.,He reads a story about a funny mistake that was made in which her home was painted when a neighbor put down her address for a painting company.,He is given the option repaint a random house pink and Steve's house is the random house.,"He offered the million to Hank, but has no connection to Carol"
193,3/11/22 15:46,R_3NE53iLSbXm5SFz,0,1,500000,,"He should give half becaise without steves house, he would not earn any of the money!",,Nothing directly. Hank reads about carols situation in a paper.,Hank must paint steves house to win money,Not at all from what i could glean,,,,,,,
332,3/11/22 15:46,R_2sYbjlm5WzwEfbX,0,,,,,,,,,1,20000,,I think he should accept the offer because $1 million is a lot of money and he should share some of the money with Steve since it's his house he painted.,Hank read a story about Carol in the newspaper. ,Hank has to decide whether or not to paint Steve's house pink. ,The stranger may have got the idea to paint Steve's house pink from Carol's house being painted blue on accident.
347,3/11/22 15:46,R_vkN3qBUk6w4HEml,1,1,30000,,Well steven can repaint his house and for his hours he spend outside of home while they painted,,hank painter painted carol house pink by accident,Hank picked steven house to be painted blue or not,He was not involved in carol house being painted pink,,,,,,,
395,3/11/22 15:46,R_eEi6GQOlNhz7Fdf,0,,,,,,,,,1,100000,,"By giving Steve a chunk of the money, Hank can make up for painting the house and not only not really do any harm but help Steve by giving him some extra money too.",Nothing. Hank reads about her.,Nothing yet. Hank could potentially paint Steve's house.,They weren't.
381,3/11/22 15:46,R_2QYvso3soHDJpCg,0,,,,,,,,,5,,,Its not right to alter someone else's property without their permission.,Nothing.  Hank read a story in the newspaper that mentioned Carol.,Hank was offered $1 million to paint a random house pink.  Hank chooses the random house from the phone book and it is Steve's house.,The story didn't say that they were involved.
545,3/11/22 15:46,R_21yVoc7DTEhMW6Q,0,1,200,,because the taxes will take a lot,,hank reads a story and carol is on vaction and when she returns her house is pink,hank can get money to paint steves house blue who he does not know,he was not,,,,,,,
389,3/11/22 15:46,R_DpkW57mg5uLVf2h,0,,,,,,,,,1,500000,,It's a win win for both parties. Paint the house pink. Steve would have plenty of money to have his house repainted and lots of money left over. ,nothing,Hank picked his name randomly from the phone book and could paint his house pink,there was no stranger
320,3/11/22 15:46,R_278dyqDWrFg2maB,0,1,50000,,The sum of 50000 will be more than enough to have Steve's house repainted in the event he does not like the blue color and will easily compensate for any other inconvenience.,,"There is no stated interaction at all between Hank and Carol, Hank just read a story about her house being painted pink.","Hank has an opportunity to get a lot of money if he agrees to have Steve's house painted blue, but it is merely a matter of random chance that Hank happened to choose Steve's house.",There is nothing at all to suggest the stranger had anything to do with Carol's house being painted pink.,,,,,,,
344,3/11/22 15:46,R_24uEMgD55oI1wHU,0,,,,,,,,,5,,,No one would want to be singled out and have their house painted and it would be a bad deed,Hank reads that Carols house was painted instead of Annes,Steve asks Hank if he wants to accept the money in exchange of painting a strangers house,It is because he came to Hank and asked the same thing of what happened to Carol
427,3/11/22 15:46,R_3lzCypPXANBcnjH,0,,,,,,,,,5,,,"It would be immoral to, what would essentially be, vandalizing someone else's property for any amount of money, and no matter how tempting the offer. So the only moral thing to do would be to turn it down.","Nothing, as Carol is someone mentioned in the paper Hank is reading. They have no interaction.","Nothing as of yet, depending on Hank's decision. If he decides to take the offer, then Steve's house would get painted pink and Hank gets a million dollars.","None, as far as we know. That was an unrelated situation involving a painting company and wrong address. They share some similarities though, but the first was an accident whereas the situation with the stranger would have intention behind it. "
274,3/11/22 15:46,R_3rG8hGfjsXKOwqZ,0,,,,,,,,,1,100000,,"Hank should give him the money so that Steve can pay to repaint his house, as well as additional money for the headaches and stress that he caused Steve with this prank",nothing. He just read about her in the paper.,"Hank picked Steve's number out of the phone book, but nothing actually occurred between them.",The is no indication that he was.
515,3/11/22 15:46,R_2dthheCFduc9l2V,1,,,,,,,,,3,5000,2000,The amount of money for Carol is to redo the pain job he mistakenly did assuming it costs about 1000 and 1000 extra for the hustle. But for Steve 1000 to redo the paint job back to where it was or to Steve's liking and the remaining 4000 as an incentive for him to agree to the pink paint.  ,Carol's home was mistakenly painted blue by Hank,Hang got in to this $1 million deal with a stranger to paint a random addresse's house which happened to be Steve's ,Not involved at all
300,3/11/22 15:46,R_3PHTQmd1eNZJlRE,1,,,,,,,,,3,250000,250000,He painted the wrong house originally which wasn't his fault but to keep his reputation good he should donate at least 250000 to Carol. For painting Steve's house pink he should also give at least 250000. Steve would probably accept this amount anyways to have his house painted!,Hank accidentally paints Carol's house blue. He was given the wrong address.,"Hank picks a random person's address, Steve's from a phone book, and will be given a million dollars by a stranger if he paints the house pink.",The stranger wasn't involved at all.
478,3/11/22 15:46,R_2UaoFNyxu67emmO,1,3,100000,100000,It would be enough money to cover the cost to repaint the house for each individual plus extra as a form of recompense for invalidating their autonomy over their home.,,Carol features in a news article that Hank reads.,Hanks randomly chooses Steve out of a phone book and as a result his (Steve's) house is painted blue.,It's explicitly stated that he is.,,,,,,,
402,3/11/22 15:47,R_1PXo4ZFk3daVDid,1,3,100000,100000,Both recipients would be glad of the windfall. Steve would receive a lot of money and a freshly painted house. Carol would have the money to repaint her house with a lot leftover so everyone would be happy.,,Hank inadvertently has Carols house painted pink rather than his own. ,Hank randomly selected Steve as the person whose house will be painted blue.,He wasn't involved at all.,,,,,,,
591,3/11/22 15:47,R_3PHJAONG7k5tE5Z,0,5,,,To accept the offer is very tempting but the moral thing to do is to refuse the offer,,Carol story was not intentional. It was accident. Hank was intentional. ,Hank picked the house. He can't contact him.,No connection. ,,,,,,,
379,3/11/22 15:47,R_W1gHVRMWWGusxjj,0,,,,,,,,,5,,,He cant paint someones hpuse without their permission ,Hank read a story about how somone painted Carol's house by mistake. He was supposed to paint her neighbor's house.,Steve is the man chosen from the phone book after the stranger offered to pay Hank a million dollars to paint a random house chosen from the phonebook pink.,He wasn’t. 
394,3/11/22 15:47,R_3CB24GTNRJjEVKM,0,,,,,,,,,1,10000,,Steve will only get his house painted pink and that does not cost much so 10000 is a good some of money to receive.,He read a story about Carlo's house being accidentally painted,Hank randomly picked Steve's house in an address book.,He was not involved.
500,3/11/22 15:47,R_1PYHVDOS1olVYEO,0,,,,,,,,,3,20000,20000,I think Hank should take the money. $1 million is a huge sum of money and he should take it. He should keep some of this money and repay both Hank and Carol enough to cover the cost of repainting their houses plus a little extra.,Hank read about a funny story that involved Anne accidentally paying to paint Carol's house blue.,Hank has the choice to either take $1 million or paint Steve's house pink.,They were not involved.
349,3/11/22 15:48,R_1mPI59OlLXGaDK5,0,1,500000,,It is his house so he should get half.,,Hank was reading a story about Carol.,"Hank is offered money to paint a random persons house, that person turns out to be Steve. ",I don't think he was. ,,,,,,,
695,3/11/22 15:48,R_3DdbVYRmVHRSGAd,0,,,,,,,,,5,,,"It certainly would be painful to turn away a million bucks but there is no question that is correct. And choosing the wrong answer here, in todays world, at the wrong house could get you shot. No not kidding.",Hank read a story that contained information about Carol's house getting painted by error.,"We don't know if it plays out but Hank picked Steve's name out of the phone book to paint, if Hank accepts the challenge.",He was not involved.
626,3/11/22 15:48,R_3QDxCPEETtn6A50,0,,,,,,,,,1,500000,,Steve has no choice in the matter yet he's the victim. It seems only fair that he get at least half the reward.,No direct connection between Hank and Carol other than Hank reading a story about her.,Steve is the homeowner that becomes victim to Hank's choice of painting a random house.,No connection between Carol and the stranger.
553,3/11/22 15:48,R_3ikX2AbVA7W5iCe,0,5,,,"Even though it might sound like an idea to accept the money and then give a large portion of it to Steve and even to Carol, Steve’s house is his own property and therefore since Hank does not know him, he has no right to vandalize his house even if he has a good intention to repay Steve with money in a few days",,Pink reads about Carol situation in the newspaper. But he has never met her in real life,Hank picks Steve’s name out of the telephone book at Randall and hast to decide if he will accept $1 million and have Steve’s house painted blue,The stranger was not involved at all in Carol’s house being painted pink,,,,,,,
662,3/11/22 15:48,R_b7uWe2ZrMhQDCPn,0,,,,,,,,,5,,,"At first I thought it would be a great idea if Hank took the money and then split the money with Steve (less the cost to repaint Steves house to the original color), but then I realized that Steve's house could be worth a huge amount of money and it may not be worth it in the end. ",Carol was the woman Hank read about in the paper. ,Steve is the man Hank picked at random from the phone book. ,I don't think that the story states this. 
603,3/11/22 15:49,R_3gNnrBattXbbxua,0,,,,,,,,,1,1000000,,"Its just a paint , you never know maybe Steve likes pink or has daughters, moreover paint job can be easily fixed and million dollars a large amount to turn it down.",Hank reads a story about a funny mistake that took place and carol was a part of that funny incident,Hank was offered 1 million to paint Steve's house pink,The stranger was not involved in the story where Carol's house was painted blue
489,3/11/22 15:49,R_27gliQ2KzrPKDOl,0,3,10000,10000,"Considering that neither Hank or Carol know how much money that Steve is getting, they can each receive the same amount of money and if they would like to have their houses re-painted, this can certainly help with getting this done for them.",,Hank read about someones house painted by mistake and Carol was the person who he read about.,Hank randomly chose Steve in a phonebook to possibly have his house painted,The exact same situation occurs even though the persons' name in the story that Hank read is not named.,,,,,,,
546,3/11/22 15:49,R_1Ioax5w8DrYwQMa,0,5,,,"This is mean, and a very costly ""prank"" for whoever is on the receiving end. The morally correct thing to do is to not do it at all. ",,"Hank read a story about the woman named Carol, who accidentally had her house painted pink. ","Hank has the option to take 1 million dollars from a stranger, if he decides to have Steve's house painted blue. ","The story doesn't mention an actual connection between the stranger, and the accidental painting of Carol's house. If I had to make an assumption, it would be that Anne was given the same opportunity as Hank, and decided to take it. ",,,,,,,
176,3/11/22 15:49,R_2CsvxPfKPQy4n5i,0,3,15000,15000,"It seems like enough money to cover the cost of painting their houses, along with some extra for their trouble.",,Hank reads a story about how Carl accidentally got her house painted pink.,"Hank chooses to gain 1 million dollars if a random house is painted blue, that house belongs to Steve.",The stranger had no involvement in Carol's house being painted pink as far as I can tell from the story.  The stranger only affects Hank and Steve.,,,,,,,
717,3/11/22 15:50,R_2Cq5YwzwgBjZ3J8,1,,,,,,,,,3,366000,366000,"A ""team effort"". everyone comes out better than they were before the $1000000",Hank painted Carols house by mistake.,Hank picks Steve's name out of the phone book to have Steve's house painted pink.,He had nothing to do with the painting of Carols house. But he was picked randomly by Hank.
702,3/11/22 15:50,R_bje3Tb53uPBv0Hf,0,3,100,100,That is a lot of money and Carol & Steve could have there houses repainted and then some..,,Nothing,nothing,He wasn't involved at all...,,,,,,,
818,3/11/22 15:50,R_2QA2f937nNeOcEN,0,1,300000,,That is a reasonable amount of money to compenstate Steve for involuntarily having his house painted blue if he has a serious issue with recieving a free paint job. ,,Hanks reads Carol's story as a news article,Hank considers an offer of a large amount of money to paint Steve's house without his consent,Unsure. Was probably aware of the incident or perpetrated the scheme even,,,,,,,
342,3/11/22 15:50,R_2dZp5RJ1FVDQ4qo,0,1,10000,,"I don't know precisely what it costs to paint a house.  But it seems like the fair thing to do if steve is going to have his house painted without his consent, is at least to give him enough money, plus expenses to have it painted back.  Ten thousand seems like enough to get that done.  ",,Nothing really happens between Hank and Carol.  Hank read a funny story in the paper involving Carol accidentally having her house painted pink.,Hank has to decide whether to accept 1 million dollars and have Steve's house painted blue.,"The stranger wasn't involved in Carol's house being painted pink, it was just a coincidence that the stranger showed up.",,,,,,,
242,3/11/22 15:50,R_3gUvoYKuitCv3ur,0,,,,,,,,,1,200000,,"It should be a large amount because without Steve's consent, Hank wouldn't receive anything. I don't think it should be a 50/50 split though. 200k is a nice amount.  ",Hank read about Carol getting her house painted blue in the newspaper. ,Hank will get 1 mil if he paints Steve's house pink. ,The stranger wasn't involved. 
727,3/11/22 15:50,R_3iyhuSrHv0ldKYG,1,,,,,,,,,3,100000,100000,"A hundred grand each to Steve and Carol aught to cover the cost of re-repainting their respective houses, or they might be able to buy new houses for that, depending on where they live. :)","Hank and Carol become fast friends. She couldn't believe her luck, especially after having such bad luck getting her house painted by accident!","Hank and Steve become fast friends too. He ended up re-painting the house, put it on the market, sold it, combined the money from that with Hank's money, and they both bought an island in the Caribbean and lived happily every after. :)","It was completely a coincidence, but my gut tells me the whole thing made the rounds on social media, and that stranger guy came across it from that. But, based on known information at the moment, the stranger totally accidentally just happened to drop by that day."
349,3/11/22 15:50,R_3hoKZmWe6oVTmOF,1,,,,,,,,,5,,,Things like this never have a good ending. Always be cautious...if it seems to good to be true...,Carol's house got painted blue by mistake while she was on vacation. Hnk had to make a moral decision.,Hank has to decide whther to take Steve's offer.,Hank could have her house repainted if he took the strangers offer.
474,3/11/22 15:51,R_2U2WA7bpNNDhZUY,0,1,100000,,I feel that to be a generous amount considering painting ones house back to the original color probably wont be that costly to begin with even if you blindside Steve a little by painting to begin with.,,"Nothing, Hank reads a story of what happens to Carol.",Hank finds Steve in the phone book as the randomly selected stranger to have his house painted blue.,He's not according to what information Anne divulged to the Newspaper and it was completely accidental.,,,,,,,
390,3/11/22 15:51,R_OKkmYuZbNOF7H3P,0,,,,,,,,,6,,,Hank can easily accept the money and do nothing about Steve's house. He can take the money and have Steve deal with a pink house because it will not be tied back to him.,Hank reads a story about Carol and how her neighbor accidentally painted Carol's house instead of her own.,Hank was offered a chance to receive one million dollars if he randomly chooses a house on a map. He chose Steve's house and in doing so Steve's house will be painted pink if he accepts the offer.,The stranger was in no way involved in Carol's house being painted blue.
527,3/11/22 15:51,R_2zcgkHn9GVJXhOg,0,,,,,,,,,5,,,"While it would be nice to possibly obtain and give it to the greater good (whoever that may be), the problem is that he would have to intentionally ruin someone else's life (little as it may be) to obtain it in the first place. Denying it outright makes it so you weren't involved whatsoever. So you can't claim any fault for not acting in this specific scenario.",They have no correlation. ,Nothing so far. It ends with Hank unintentionally picking Steve phone. It ends there.,They also have no correlation based on the story.
228,3/11/22 15:51,R_2EtJ9qsVMAvcpyM,0,1,500000,,"Hank is getting the money for doing something to someone else that they are unexpecting, but if he splits it with Steve then it feels like it is actually a mutually beneficial thing for both",,Nothing - he just reads a story about her in the newspaper,Hank is tasked with painting Steve's house blue at random and his actions will impact Steve if he does this,Not at all based on our knowledge,,,,,,,
634,3/11/22 15:52,R_vP13EK5dRdeztBv,0,5,,,The moral implications are quite minimal between the presented choice. The one i chose has the least amount of variations and the highest predictability. Refusing the money and accepting the status quo is the most moral.,,Nothing occurs between Hank and Carol other than Hank being aware of Carol's syory,Hank randomly chooses Steve as a person that may have their house painted blue from a phone book.,The stranger has no connection to Carol's house bring painted.,,,,,,,
252,3/11/22 15:52,R_3PXmMDnO7a1v9vq,0,,,,,,,,,1,50000,,Steve would be inconvenienced and would want the value of repainting his house plus the value of being annoyed for no reason. I would not think it is immoral for Hank to take the money since the offense of painting someone's house is not really that big.,Hank reads about Carol in the newspaper,Hank randomly selects Steve out of the phone book,It is unclear if the stranger was involved with the painting of Carol's house
589,3/11/22 15:52,R_1XNzKdTVquTu6n7,0,,,,,,,,,3,100000,100000,That amount should more than cover the cost to repaint their homes and compensate them for the trouble,nothing,Hank accepts 1000000 from a stranger and randomly chooses Steve's house as the one to paint pink.,the stranger wasn't involved.
682,3/11/22 15:52,R_2Wv5vLtFthQ2IAV,0,,,,,,,,,5,,,The most moral thing to do would be to not accept the mobey because the vonsequrnces will unfairly affect someone else.,Hank was reading a story about Carol's house being mistakenly painted. Hank was approached by a stranger later and offered $1million if he would randomly paint a house pink.,Hank doesnt know Steve.,He wasn't. It was coincidental.
904,3/11/22 15:53,R_1F2I78oJFoF1s8r,1,5,,,"Hank has already made a mess of things with his neighbor, Carol's house. If he accepts the offer, he will create another problem for another person.",,"Hank accidently put in Carol's  house address to be painted, when he meant it for his home.","Hank was offered a sum of a million dollars by a stranger to pick a house at random to be painted blue. Hank picks, and it turns out to belong to a man named Steve.",He wasn't. He showed up at random to make the offer to Hank.,,,,,,,
927,3/11/22 15:53,R_3EcAvm3lWACSGGH,0,4,,,I feel the most moral thing to do is to accept the money and donate it to charity that could benefit from the money in a positive way.  This way more than one person can benefit from the money rather than just Hank alone.,,Hank and Carol characters are unrelated.  Carol's house was mistakenly painted pink by Anne and Hank can choose to paint Steve's house blue at random.,Hank picked Steve at random from a phone book to paint his house blue in order to receive $1 million.,The stranger was not involved in Carol's house being painted pink.,,,,,,,
340,3/11/22 15:53,R_3pa3FHrRaDvmtnY,0,,,,,,,,,6,,,MY neighbor got a new paint job and I got some extra cash.,Hank read a story about Carol,Hank chose Steve's house to paint pink,He was not involved.
303,3/11/22 15:54,R_1DIHjrILOqHEWFF,0,1,500000,,"The predilection for Hank to receive the million dollars is that he has to paint Steve's house without his consent. Without Steve (or another person's who owns a home), Hank couldn't receive the million dollars. So, Hank should split the money equally with whoever's house he paints.",,Hank reads a funny story about Caro in his newspaper.,Hank is offered a million dollars to paint Steve's house blue with his knowledge/consent.,The stranger wasn't involved at all. Carol gave the painting company the wrong address.,,,,,,,
779,3/11/22 15:54,R_1NmIVCQnMAbk5J4,1,6,,,this is because painting the house blue comes with a big reward.,,"their houses were being painted,",they are likely to recieve the 1 million dollars,not involved,,,,,,,
295,3/11/22 15:54,R_3foVu2jcsAI5KWh,1,5,,,"I think this scenario calls for Hank to just not participate. He accidentally had Carol's house painted blue, this would be an intentional act. ",,"Hank accidentally gave Carol's address to the painters, and while she was on vacation, her home was painted pink.",Hank randomly picks Steve's name and address out of the phone book to potentially have his home painted blue in response to a monetary dare of a stranger.,The stranger was not involved in Carol's house being painted pink.,,,,,,,
573,3/11/22 15:55,R_2YAfDDT8lmyhpKQ,0,1,50000,,"Because he is going to have his house painted blue he can have it painted again if he wants  to change it , it is the fair thing to do.",,hank reads about how her house was painted pink.,Hank picks Steve's name out of the phonebook to have his house painted blue.,He wasn't involved in painting her house.,,,,,,,
228,3/11/22 15:55,R_3eelvMXh9r2cdeA,0,1,100000,,Because the cost of painting ones house is not that expensive but he does deserve compensation for being blindsided this way.,,"Nothing, Hank reads a newspaper story talking about what occurred to Carol while she was on vacation.",Hank randomly gets Steve selected in the address book on whether to have his house painted blue.,"According to Anne, her story didn't divulge anything to do with the stranger despite the coincidence.",,,,,,,
956,3/11/22 15:55,R_2EoXfS2LipPP6fd,0,1,500000,,Steve could repaint the house and earn some extra money.,,Hank reads about Carol in a newspaper story.,Hank plans to paint Steve's house blue and give him half a million dollars.,The stranger wasn't involved.,,,,,,,
382,3/11/22 15:55,R_31Tq5vmOkyNYkzP,1,,,,,,,,,1,250000,,"Because they can both benefit from it after the fact.Maybe the guy needed his house painted and in the end they can split the money for 500,000. ","Nothing.  Hank reads a story about Carol, but they don't actually know each other or interact.","Nothing yet, but he's deciding if he will be a stranger who will paint Steve's house pink without him knowing or asking first.",Their house was being painted because she accidentally wrote down the wrong address and then went on vacation.
1092,3/11/22 15:55,R_2aqJnMiyCGJqGLe,0,,,,,,,,,5,,,"In my opinion the only morally correct answer is to refuse the money and turn the stranger away, the problem with accepting the money and giving some of the money to Steve which could be seen as morally acceptable is Steve's house could be a mansion or an extremely large house that could potentially cost more than 1 million to paint for all the labor and other associated costs which means you would basically be destroying Steve's house and not supplying him with enough money to fix the problem that you created, this is morally not acceptable. Accepting the money and donating it to charity although impactful does not do away with the moral misdeed of basically acting against the interest of Steven and painting his house a color that he surely does not want it painted, and it does nothing to rectify that situation with Steve after it is painted pink. Options involving Carol are not of Hanks concern because he was not involved in that mistake, that is a problem that Anne needs to sort out with Carol, and obviously the option of accepting the offer and keeping all the money is the least moral decision Hank could make and would be a decision fueled only by greed. Thus in my opinion the only morally correct answer is to keep everything as is and refuse the offer from the stranger and basically leave everything as it were before the stranger ever approached you.","Nothing, Hank only reads a story about Carol's house being painted blue because a woman named Anne gave her neighbors address to the painting company which happened to be Carol's house.","Hank selects Steve's house as the house that would be painted pink should he accept the mysterious strangers offer of 1 million dollars, however Steve knows none of this and so nothing really happens between Hank and Steve","The stranger was not involved, furthermore Carol's house was not painted blue because she made a mistake, it was Anne's house who was painted blue but it had nothing to do with the stranger it was a mistake because Carol gave her neighbors address to the painting company."
416,3/11/22 15:56,R_2xLWbsCualfpiDa,0,,,,,,,,,1,1000000,,Hank have to share money with Steve for painting his house Pink without consent,"Hank reads a story in the newspaper called Funny mistake, Carol is one of the character in that story",Hank was offered 1 million dollars for painting Steve's house Pink,The stranger was not involved in Painting the house blue
